               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.061865,            0.015988,                   0,             0.45525,             0.67325,             0.61311,             0.22097,            0.062189,            0.008666,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.062387,            0.014499,                   0,             0.72954,             0.59722,             0.68662,             0.21291,            0.064991,           0.0086069,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.070745,            0.015648,                   0,             0.72954,             0.59722,             0.68662,             0.21291,            0.064991,           0.0086069,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.065509,            0.015178,                   0,             0.50457,             0.63889,             0.63378,              0.2295,            0.058364,           0.0084324,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.060654,            0.017052,                   0,             0.50457,             0.63889,             0.63378,              0.2295,            0.058364,           0.0084324,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.057011,             0.01393,                   0,             0.82634,             0.66093,             0.77524,              0.2888,            0.053738,           0.0083771,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.055078,             0.01517,                   0,             0.82634,             0.66093,             0.77524,              0.2888,            0.053738,           0.0083771,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,             0.05638,            0.015474,                   0,             0.65369,             0.65278,             0.73167,             0.27691,            0.055009,           0.0083771,                   0,           0.0070696,           0.0070696,           0.0070696
                 150,            0.060177,            0.014068,                   0,             0.65369,             0.65278,             0.73167,             0.27691,            0.055009,           0.0083771,                   0,           0.0070498,           0.0070498,           0.0070498
                 151,            0.058753,              0.0187,                   0,             0.72484,             0.63889,             0.73503,             0.28311,            0.057222,           0.0084715,                   0,             0.00703,             0.00703,             0.00703
                 152,            0.056901,            0.017828,                   0,             0.72484,             0.63889,             0.73503,             0.28311,            0.057222,           0.0084715,                   0,           0.0070102,           0.0070102,           0.0070102
                 153,            0.061016,            0.014182,                   0,              0.7193,             0.61111,             0.73269,             0.28977,             0.05958,            0.008522,                   0,           0.0069904,           0.0069904,           0.0069904
